date,value
2021-06-31,3042379
2021-05-31,3206589
2021-04-31,3485016
2021-03-31,4645609
2021-02-31,3394895
2021-01-31,4288240
2020-12-31,3904879
2020-11-31,3602296
2020-10-31,3268909
2020-09-31,2857953
2020-08-31,3085227
2020-07-31,3614192
2020-06-31,3909502
2020-05-31,3066740
2020-04-31,2878176
2020-03-31,3709562
2020-02-31,2776380
2020-01-31,2652263
2019-12-31,2898501
2019-11-31,2545863
2019-10-31,2327252
2019-09-31,2189028
2019-08-31,2341363
2019-07-31,2004277
2019-06-31,2291066
2019-05-31,2320918
2019-04-31,2305136
2019-03-31,2604927
2019-02-31,2028667
2019-01-31,2150322
2018-12-31,2517286
2018-11-31,2363705
2018-10-31,2033276
2018-09-31,1895841
2018-08-31,2026309
2018-07-31,1806746
2018-06-31,1912838
2018-05-31,1983346
2018-04-31,2186119
2018-03-31,2753881
2018-02-31,2293373
2018-01-31,1996721
2017-12-31,2575486
2017-11-31,2372888
2017-10-31,2017017
2017-09-31,1857226
2017-08-31,1896457
2017-07-31,1733308
2017-06-31,1888266
2017-05-31,1898840
2017-04-31,2037180
2017-03-31,2422749
2017-02-31,2224394
2017-01-31,2032108
2016-12-31,2763115
2016-11-31,2554486
2016-10-31,2326517
2016-09-31,1983596
2016-08-31,1836788
2016-07-31,2187190
2016-06-31,2123334
2016-05-31,1860699
2016-04-31,2135909
2016-03-31,2509065
2016-02-31,2604667
2016-01-31,2540146
2015-12-31,3308199
2015-11-31,2236457
2015-10-31,1969248
2015-09-31,1786743
2015-08-31,1735911
2015-07-31,1589462
2015-06-31,1518852
2015-05-31,1570893
2015-04-31,1697737
2015-03-31,2001245
2015-02-31,1848308
2015-01-31,1763233
2014-12-31,2301386
2014-11-31,1797163
2014-10-31,1595898
2014-09-31,1447485
2014-08-31,1538347
2014-07-31,1393705
2014-06-31,1375135
2014-05-31,1476318
2014-04-31,1733651
2014-03-31,2476610
2014-02-31,2073978
2014-01-31,1650565
2013-12-31,2032755
2013-11-31,1805759
2013-10-31,1679099
2013-09-31,1392423
2013-08-31,1408468
2013-07-31,1271571
2013-06-31,1270817
2013-05-31,1424450
2013-04-31,1702455
2013-03-31,2197116
2013-02-31,2298561
2013-01-31,2483230
2012-12-31,2776105
2012-11-31,1997703
2012-10-31,1604743
2012-09-31,1450737
2012-08-31,1514696
2012-07-31,1289585
2012-06-31,1290210
2012-05-31,1305392
2012-04-31,1416074
2012-03-31,1715125
2012-02-31,1734646
2012-01-31,1368816
2011-12-31,1854400
2011-11-31,1527454
2011-10-31,1331836
2011-09-31,1244604
2011-08-31,1300433
2011-07-31,1147355
2011-06-31,1157714
2011-05-31,1219872
2011-04-31,1339673
2011-03-31,1437709
2011-02-31,1463138
2011-01-31,1312544
2010-12-31,1512265
2010-11-31,1286817
2010-10-31,1359894
2010-09-31,1139880
2010-08-31,1082360
2010-07-31,1062886
2010-06-31,998262
2010-05-31,1009818
2010-04-31,1226760
2010-03-31,1291618
2010-02-31,1237617
2010-01-31,1112312
2009-12-31,1401109
2009-11-31,1217229
2009-10-31,1226560
2009-09-31,1087686
2009-08-31,1070879
2009-07-31,963521
2009-06-31,964070
2009-05-31,1019331
2009-04-31,1222022
2009-03-31,1342359
2009-02-31,1257324
2009-01-31,1212863
2008-12-31,1522468
2008-11-31,1528341
2008-10-31,1182156
2008-09-31,971613
2008-08-31,955685
2008-07-31,889634
2008-06-31,818485
2008-05-31,885246
2008-04-31,938745
2008-03-31,1039597
2008-02-31,1019972
2008-01-31,941043
2007-12-31,1229610
2007-11-31,1079062
2007-10-31,1023899
2007-09-31,943662
2007-08-31,916097
2007-07-31,756584
2007-06-31,791992
2007-05-31,801509
2007-04-31,838642
2007-03-31,974093
2007-02-31,913547
2007-01-31,893575
2006-12-31,1252784
2006-11-31,1043598
2006-10-31,969092
2006-09-31,917184
2006-08-31,830477
2006-07-31,629866
2006-06-31,613583
2006-05-31,622547
2006-04-31,693232
2006-03-31,837280
2006-02-31,815478
2006-01-31,767936
2005-12-31,1161381
2005-11-31,921798
2005-10-31,847860
2005-09-31,786211
2005-08-31,679473
2005-07-31,555679
2005-06-31,548584
2005-05-31,546986
2005-04-31,647423
2005-03-31,757824
2005-02-31,735103
2005-01-31,678733
2004-12-31,1065185
2004-11-31,883939
2004-10-31,857807
2004-09-31,732988
2004-08-31,658919
2004-07-31,552985
2004-06-31,537942
2004-05-31,529776
2004-04-31,629279
2004-03-31,729554
2004-02-31,715879
2004-01-31,685638
2003-12-31,1003080
2003-11-31,836392
2003-10-31,848369
2003-09-31,731305
2003-08-31,677315
2003-07-31,525032
2003-06-31,523780
2003-05-31,560886
2003-04-31,615058
2003-03-31,730189
2003-02-31,703956
2003-01-31,646882
2002-12-31,969919
2002-11-31,881541
2002-10-31,843113
2002-09-31,718270
2002-08-31,688810
2002-07-31,530171
2002-06-31,507222
2002-05-31,557459
2002-04-31,619669
2002-03-31,707897
2002-02-31,687011
2002-01-31,655987
2001-12-31,1055298
2001-11-31,976210
2001-10-31,1023080
2001-09-31,857828
2001-08-31,704010
2001-07-31,532306
2001-06-31,534369
2001-05-31,532437
2001-04-31,583762
2001-03-31,720477
2001-02-31,666352
2001-01-31,633916
2000-12-31,993656
2000-11-31,888547
2000-10-31,836363
2000-09-31,774146
2000-08-31,676394
2000-07-31,533898
2000-06-31,540036
2000-05-31,526521
2000-04-31,606636
2000-03-31,725733
2000-02-31,696313
2000-01-31,628853
1999-12-31,1248333
1999-11-31,995894
1999-10-31,934922
1999-09-31,799310
1999-08-31,694980
1999-07-31,579634
1999-06-31,564912
1999-05-31,569220
1999-04-31,638666
1999-03-31,741687
1999-02-31,690215
1999-01-31,585974
